feature,target_class,target_probability,signed_sensitivity_per_radian,absolute_sensitivity_per_radian
sepal length (cm),0,0.680745801156201,-0.3294041262366651,0.3294041262366651
petal length (cm),0,0.680745801156201,0.2299271150261182,0.2299271150261182
petal width (cm),0,0.680745801156201,0.12489054729158944,0.12489054729158944
sepal width (cm),0,0.680745801156201,0.0710245060428017,0.0710245060428017
