epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,gradient_norm,parameter_norm
1,1.0976077516494958,1.1758845901143993,0.4222222222222222,0.4,0.41016357718099555,0.38593750325130194
2,1.046222002956114,1.1327032860892323,0.4888888888888889,0.4666666666666667,0.3630457333109221,0.4656120809508734
3,0.9959414364789102,1.0895954261737877,0.5333333333333333,0.5,0.32240491731287707,0.6059995963103822
4,0.9454290317695111,1.044715152305713,0.5666666666666667,0.6,0.2957450081767131,0.7704856639482505
5,0.8972729957094288,0.9994654853052245,0.6444444444444445,0.6333333333333333,0.2744654425002906,0.9558500347257506
6,0.854649153538549,0.9564136304261445,0.6777777777777778,0.6666666666666666,0.24834789923093406,1.156194470850165
7,0.8194998303351342,0.9177354770576459,0.6777777777777778,0.7333333333333333,0.21820072372318355,1.363454398623826
8,0.7920013629167196,0.8845679026442216,0.7222222222222222,0.6666666666666666,0.19030891129081057,1.5682799176269364
9,0.7708304286513845,0.8568726176411344,0.7222222222222222,0.7,0.170261413093192,1.7612119529317678
10,0.7540679098670752,0.8338142872815576,0.7111111111111111,0.7,0.15813747282428936,1.9357855283339898
11,0.7401848416004836,0.8144229403975195,0.7222222222222222,0.6666666666666666,0.1493492170176057,2.090415756738314
12,0.7284034928856908,0.7979795616388877,0.7222222222222222,0.6666666666666666,0.13971088259037057,2.226484987297194
13,0.7184386121188715,0.7839832676993106,0.7222222222222222,0.6666666666666666,0.12809040452986203,2.345906235894536
14,0.7101218727062514,0.7720062831621817,0.7666666666666667,0.7666666666666667,0.11558348849200467,2.450137370064072
15,0.7032171880957573,0.7616501217571641,0.7888888888888889,0.7666666666666667,0.10376602899366949,2.5401289281513897
16,0.6974388115792889,0.7525999111799441,0.8222222222222222,0.8,0.09358759503068498,2.6166556761137656
17,0.692537677202699,0.7446720028445396,0.8444444444444444,0.8666666666666667,0.0852976291971315,2.680699069506896
18,0.6883384898166048,0.7377894743857684,0.8444444444444444,0.8333333333333334,0.07898149094191304,2.7336466851154144
19,0.6847085973048548,0.7319042085963149,0.8555555555555555,0.8333333333333334,0.07495768591283346,2.777241603268397
20,0.6815040055621905,0.726917712150456,0.8444444444444444,0.8,0.0736414468789149,2.813390429119496
21,0.6785409110200292,0.722640618410192,0.8333333333333334,0.8,0.07501103495730523,2.8439758374750728
22,0.6756144373079229,0.7188070256366753,0.8333333333333334,0.7666666666666667,0.07821219709707149,2.8707350578385795
23,0.672556027004016,0.7151360062484754,0.8444444444444444,0.8,0.08171660157236141,2.8951966119150376
24,0.6692996136653422,0.7114124316507147,0.8444444444444444,0.8,0.08382550495755409,2.9186511812187597
25,0.6659224218069474,0.7075518031207159,0.8444444444444444,0.7666666666666667,0.08310361033800905,2.942132073810501
26,0.662638754116567,0.7036233630370125,0.8333333333333334,0.7666666666666667,0.07862393502521871,2.966385750558298
27,0.6597443546609573,0.699824118776544,0.8555555555555555,0.8,0.0701106577610589,2.991830702847283
28,0.6575260004661792,0.6964130611445182,0.8111111111111111,0.7333333333333333,0.05809211459349876,3.018524283936704
29,0.6561639848541467,0.6936267000583284,0.8,0.7333333333333333,0.04421779503123739,3.0461673386011614
30,0.6556630279706679,0.6916044702677838,0.8222222222222222,0.7666666666666667,0.03215123530719168,3.074171264092217
31,0.6558433981047699,0.6903521794848574,0.8222222222222222,0.7666666666666667,0.0283819960341737,3.1017920863413897
32,0.6564018171982032,0.6897578569813322,0.8222222222222222,0.7666666666666667,0.03458241257061214,3.1283051695919895
33,0.6570172592905272,0.6896492621818304,0.8222222222222222,0.7666666666666667,0.04363125149742728,3.153167876032801
34,0.6574524243451324,0.6898608295530767,0.8111111111111111,0.7666666666666667,0.050553851148086006,3.176117695223825
35,0.6576069455561568,0.6902762955959318,0.8111111111111111,0.7333333333333333,0.05365662684828325,3.1971834705150726
36,0.6575086186462342,0.6908323718232198,0.8111111111111111,0.7333333333333333,0.05287321123376002,3.21662451521906
37,0.65726070286744,0.6914929034323051,0.8111111111111111,0.7666666666666667,0.049057730128979335,3.234832411308414
38,0.65697790853499,0.6922158665344642,0.8111111111111111,0.7666666666666667,0.04361795059757699,3.2522292463602076
39,0.6567389527381372,0.6929329435662731,0.8111111111111111,0.7666666666666667,0.03820594747064113,3.2691849172026104
40,0.65656831148202,0.6935494408122386,0.8111111111111111,0.7666666666666667,0.03429377133552432,3.2859649146487144
41,0.6564443495694262,0.6939603057327649,0.8,0.7666666666666667,0.0325470797003375,3.302711367762817
42,0.6563221150951488,0.694072299517164,0.8,0.7666666666666667,0.032468865091156957,3.3194527928332094
43,0.6561580932331642,0.6938235159357264,0.8111111111111111,0.7666666666666667,0.03291157012443413,3.33613177914219
