model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,roc_auc_ovr,log_loss,brier_score,expected_calibration_error,fit_seconds,inference_ms_per_sample
random_forest,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9866666666666667,0.21586660180356118,0.10428924816074579,0.0713772486772486,0.4155379910000647,0.7359475000005963
rbf_svc,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9966666666666667,0.14697372324873836,0.06910424852286808,0.11570392006579686,0.0030742249999775595,0.05331023333307409
logistic_regression,0.9,0.9,0.9023569023569024,0.9,0.899749373433584,0.9916666666666666,0.21617362092294318,0.11592096711172199,0.12628956886860865,0.08692793000000165,0.008388066669340333
variational_quantum_classifier,0.7666666666666667,0.7666666666666666,0.7685185185185185,0.7666666666666666,0.7639553429027113,0.8916666666666666,0.7159630500799316,0.41795103420528984,0.3125187870149842,79.57862748499997,0.5019532999995135
