model,bin,lower,upper,count,mean_confidence,empirical_accuracy
variational_quantum_classifier,2,0.25,0.375,1,0.3705754367403324,0.0
variational_quantum_classifier,3,0.375,0.5,12,0.459069493270172,0.75
variational_quantum_classifier,4,0.5,0.625,12,0.5534054284796754,0.75
variational_quantum_classifier,5,0.625,0.75,5,0.6848527297508502,1.0
logistic_regression,3,0.375,0.5,1,0.49443542077838754,0.0
logistic_regression,4,0.5,0.625,2,0.5960256239983321,0.5
logistic_regression,5,0.625,0.75,5,0.6856381854048439,0.8
logistic_regression,6,0.75,0.875,7,0.8295373807316759,1.0
logistic_regression,7,0.875,1.0,15,0.9633365213669836,1.0
rbf_svc,4,0.5,0.625,2,0.6070590215465211,0.0
rbf_svc,5,0.625,0.75,1,0.725824479473373,1.0
rbf_svc,6,0.75,0.875,3,0.7772703797866525,1.0
rbf_svc,7,0.875,1.0,24,0.9452235342619084,1.0
random_forest,5,0.625,0.75,1,0.6685952380952381,0.0
random_forest,6,0.75,0.875,4,0.8245992063492062,1.0
random_forest,7,0.875,1.0,25,0.9821349206349207,0.96
