stage,basis_state,probability
feature_map,0000,0.004807525518149
feature_map,0001,0.01774059765314325
feature_map,0010,0.031575073682513756
feature_map,0011,0.11651746328857833
feature_map,0100,0.007440485931104732
feature_map,0101,0.02745667532065944
feature_map,0110,0.04886794477147023
feature_map,0111,0.18033113772435524
feature_map,1000,0.006250945651728301
feature_map,1001,0.02306706669373527
feature_map,1010,0.04105523076135504
feature_map,1011,0.15150087664528483
feature_map,1100,0.009674430848511047
feature_map,1101,0.03570031704640295
feature_map,1110,0.06354014465964465
feature_map,1111,0.2344740838033632
variational_layer_1,0000,0.04433016561563052
variational_layer_1,0001,0.006138063349745146
variational_layer_1,0010,0.07545479499107655
variational_layer_1,0011,0.03449089787788316
variational_layer_1,0100,0.08937893379554485
variational_layer_1,0101,0.02035324691398005
variational_layer_1,0110,0.11156894758734709
variational_layer_1,0111,0.04320467323904576
variational_layer_1,1000,0.09532930019573836
variational_layer_1,1001,0.022960777849034712
variational_layer_1,1010,0.09670490851380711
variational_layer_1,1011,0.03725789208885711
variational_layer_1,1100,0.0849662840659068
variational_layer_1,1101,0.01275247501220836
variational_layer_1,1110,0.1570747486199809
variational_layer_1,1111,0.0680338902842129
variational_layer_2,0000,0.09805667922501096
variational_layer_2,0001,0.0005660305195730995
variational_layer_2,0010,0.015601018239307231
variational_layer_2,0011,0.041997211655318306
variational_layer_2,0100,0.038759425676018436
variational_layer_2,0101,0.022341227541121375
variational_layer_2,0110,0.15485151365420563
variational_layer_2,0111,0.06614998705730071
variational_layer_2,1000,0.13082229643377655
variational_layer_2,1001,0.03520039352292011
variational_layer_2,1010,0.039686119630886564
variational_layer_2,1011,0.029509604606991837
variational_layer_2,1100,0.0057564448457995306
variational_layer_2,1101,0.03871776535294158
variational_layer_2,1110,0.26010849240557965
variational_layer_2,1111,0.02187578963324762
