feature,mean_absolute_sensitivity,std_absolute_sensitivity
petal length (cm),0.2102852709090244,0.13376074782690722
sepal width (cm),0.19724060202813717,0.10950257591662411
sepal length (cm),0.15800803199972888,0.15051050965294582
petal width (cm),0.055432926498339995,0.04683483414027669
